id,name,url
90,Mobile_Suit_Gundam_Wing,https://myanimelist.net/anime/90/Mobile_Suit_Gundam_Wing
91,Mobile_Suit_Gundam_Wing__Endless_Waltz,https://myanimelist.net/anime/91/Mobile_Suit_Gundam_Wing__Endless_Waltz
92,After_War_Gundam_X,https://myanimelist.net/anime/92/After_War_Gundam_X
93,Mobile_Suit_Gundam_Seed,https://myanimelist.net/anime/93/Mobile_Suit_Gundam_Seed
94,Mobile_Suit_Gundam_Seed_Destiny,https://myanimelist.net/anime/94/Mobile_Suit_Gundam_Seed_Destiny
95,Turn_A_Gundam,https://myanimelist.net/anime/95/Turn_A_Gundam
96,Mobile_Fighter_G_Gundam,https://myanimelist.net/anime/96/Mobile_Fighter_G_Gundam
97,Last_Exile,https://myanimelist.net/anime/97/Last_Exile
98,Mai-HiME,https://myanimelist.net/anime/98/Mai-HiME
99,Mai-Otome,https://myanimelist.net/anime/99/Mai-Otome
100,Shin_Shirayuki-hime_Densetsu_Prétear,https://myanimelist.net/anime/100/Shin_Shirayuki-hime_Densetsu_Prétear
101,Air,https://myanimelist.net/anime/101/Air
102,Aishiteruze_Baby★★,https://myanimelist.net/anime/102/Aishiteruze_Baby★★
103,Akazukin_Chacha,https://myanimelist.net/anime/103/Akazukin_Chacha
104,Ayashi_no_Ceres,https://myanimelist.net/anime/104/Ayashi_no_Ceres
105,Boys_Be,https://myanimelist.net/anime/105/Boys_Be
106,Hana_yori_Dango,https://myanimelist.net/anime/106/Hana_yori_Dango
107,Ou_Dorobou_Jing,https://myanimelist.net/anime/107/Ou_Dorobou_Jing
108,Ou_Dorobou_Jing_in_Seventh_Heaven,https://myanimelist.net/anime/108/Ou_Dorobou_Jing_in_Seventh_Heaven
109,Bakuretsu_Tenshi,https://myanimelist.net/anime/109/Bakuretsu_Tenshi
110,Chuuka_Ichiban,https://myanimelist.net/anime/110/Chuuka_Ichiban
111,Corrector_Yui,https://myanimelist.net/anime/111/Corrector_Yui
112,Chou_Henshin_Cosprayers,https://myanimelist.net/anime/112/Chou_Henshin_Cosprayers
113,Uchuu_no_Stellvia,https://myanimelist.net/anime/113/Uchuu_no_Stellvia
